cell,cycle,IR,IR_init,IR_end,QC,QD,Tavg,Tmin,Tmax,Ctime,I,V,T,Qdlin,Tdlin,dQdV,SOH_C,SOH_IR,dqdv_peak
B2C08,1,0.017235447,0.017235447,0.018728551,1.0204744,1.0245416,32.70337560335194,30.794886,36.317604,13.341545000000012,-0.0916728288547316,3.10044460698324,32.70337560335196,0.6993247483054242,33.844302821211095,-0.6990033244475833,92.77039999999998,100.0,6.296479146547682
B2C08,2,0.017149957,0.017235447,0.018728551,1.0241793,1.026484,32.49190746874999,29.857843,35.166122,13.426149999999993,-0.1463856108062081,3.1046243480698528,32.49190746875,0.7061078950289509,33.754817851777226,-0.7212798577350352,93.10720909090908,105.72565608289848,6.178497830016634
B2C08,3,0.017411867,0.017235447,0.018728551,1.0255781,1.0273392,31.558886372350223,29.653862,35.399834,13.426276666666672,-0.1011407753961391,3.113039630230414,31.558886372350223,0.6978152956645326,32.89962737512946,-0.6939465508574744,93.23437272727271,88.18434616744713,6.706486462363057
B2C08,4,0.017146599,0.017235447,0.018728551,1.0269107,1.0283386,32.345363337394566,30.339859,35.274929,13.425904999999997,-0.1813169158383931,3.091424729522024,32.34536333739456,0.7048945666880382,33.37104540446197,-0.7035431442686345,93.35551818181816,105.95055669263512,6.143256519917838
B2C08,5,0.017070321,0.017235447,0.018728551,1.0281938,1.0294046,32.89220915137612,31.415842,35.878479,13.341328333333331,-0.1215399343989575,3.1073089338532114,32.89220915137615,0.7069895975984126,33.81690094753079,-0.7042725415040376,93.47216363636365,111.05924302660776,6.4400808187505465
B2C08,6,0.017458038,0.017235447,0.018728551,1.0286512,1.0294881,31.81602042675164,29.320448,35.102619,13.341383333333336,-0.1286753075479196,3.113840376160146,31.8160204267516,0.6994869648254856,32.64131473573776,-0.7003195752122354,93.51374545454546,85.09206324542711,6.258789405297269
B2C08,7,0.017230386,0.017235447,0.018728551,1.0291393,1.0300515,32.01234716129035,29.940498,35.093719,13.425856666666732,-0.1124171259254796,3.11362064,32.01234716129032,0.7068382638225787,33.240874899132834,-0.7010962841430759,93.55811818181816,100.33895830431103,6.077497991843991
B2C08,8,0.017095063,0.017235447,0.018728551,1.030013,1.0307631,33.06276403213614,31.470005,35.853516,13.42597666666661,-0.1318455764399812,3.1085956598298683,33.0627640321361,0.7102146317026122,33.9975256962861,-0.7047470169506084,93.63754545454546,109.402158188579,6.670805898950618
B2C08,9,0.01722895,0.017235447,0.018728551,1.0296172,1.0302094,32.32756084440233,28.560381,34.767284,13.426056666666652,-0.0637987891707953,3.093493103320684,32.32756084440227,0.7039525733119759,32.75403526815667,-0.7057718130248856,93.60156363636362,100.43513378840328,6.179292818373823
B2C08,10,0.017209383,0.017235447,0.018728551,1.0307022,1.0313256,32.04956256050953,30.07419,36.427364,13.341374999999973,-0.1975347791766426,3.11530296733394,32.04956256050956,0.7055298881906631,33.81336816116979,-0.7030119706420725,93.7002,101.74562522101604,6.099240553081351
B2C08,11,0.017200157,0.017235447,0.018728551,1.0309817,1.031397,32.66093786219732,29.928436,35.097733,13.426050000000032,-0.1339019013715677,3.115617750744879,32.660937862197386,0.7115568465768187,33.670476597015806,-0.7004565133775804,93.72560909090907,102.36353261393717,6.019188287788878
